Name	BORROMEO_ASCL1_SIGNATURE	LIN_APC_TARGETS	BILD_CTNNB1_ONCOGENIC_SIGNATURE	BILD_MYC_ONCOGENIC_SIGNATURE	GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN
FPKM.SCLC1_relapse_1206866	6252.103282	3502.301451	5135.137553	2525.793883	1084.785192	4789.54712	3704.761928
FPKM.SCLC11_relapse_1316889	6910.88104	4953.647387	3979.85077	2957.793064	435.4372932	4712.328893	4276.8916
FPKM.SCLC18_relapse_1316903	7251.430294	4742.358916	3885.761991	2595.759194	158.7326854	4468.429754	4309.697069
FPKM.SCLC19_relapse_1322930	-3918.359576	4961.518887	5091.802097	3597.489156	1174.290171	5625.469576	4451.179405
FPKM.SCLC2_relapse_1206854	6671.468928	4143.9758	5052.786503	2310.429199	1278.991795	4740.411672	3461.419878
FPKM.SCLC20_relapse_1322931	-5552.022181	4850.234879	5518.29084	3531.573298	677.2088615	5490.528719	4813.319857
FPKM.SCLC21_relapse_1420147	-3.373265665	4937.850318	4894.730691	2630.772738	1687.661382	5948.116115	4260.454733
FPKM.SCLC23_relapse_1409275	7122.979625	4207.282739	4792.194662	2119.564351	1473.196821	4503.371436	3030.174615
FPKM.SCLC24_relapse_1409277	-3945.829738	4318.824944	4836.057911	3341.21563	1649.392082	5296.647213	3647.255131
FPKM.SCLC25_relapse_1409274	5055.523943	4541.603311	4937.676273	3024.556646	902.9700962	4562.982483	3660.012387
FPKM.SCLC27_relapse_1421554	5353.291589	4396.234119	4966.907632	2548.607185	1508.664843	4972.376224	3463.711381
FPKM.SCLC29_relapse_M1500410	-5839.132351	5270.957512	5508.494156	4462.699596	1514.360592	5916.224124	4401.863531
FPKM.SCLC3_relapse_1218595	6634.52247	3430.697752	4939.250811	1788.079822	2246.928798	5693.919196	3446.990398
FPKM.SCLC30_relapse_M1501188	-5054.720024	4636.217287	5279.714622	3502.043614	1388.186003	5400.072543	4011.88654
FPKM.SCLC31_relapse_M1500912_1	353.6139567	4007.68294	4397.64873	2370.133521	16.6504204	3837.794573	3821.144152
FPKM.SCLC6_relapse_1303320	6775.230177	5045.174612	3737.001804	3016.042806	1536.226844	5643.2498	4107.022956
FPKM.SCLC8_relapse_1311328	5278.818688	4238.226023	3829.460844	2549.492502	874.9774448	5232.204994	4357.227549
FPKM.SCLC9_relapse_1311329	-3775.770915	5176.198588	4659.186065	4015.773626	807.2205781	5890.08143	5082.860852
A-TNG-S00022	7068.249724	6358.063457	3417.986129	2763.42103	100.4444536	4130.90385	4030.459396
A-TNG-S00035	6472.891861	6227.494582	3489.925452	3297.728473	759.8258965	5577.557287	4817.73139
A-TNG-S00050	7115.484334	6290.117125	3193.692285	2467.007511	491.5195209	4421.148388	3929.628867
A-TNG-S00213	5016.13022	6175.663316	3795.93694	3615.525345	668.9204497	5352.193506	4683.273056
A-TNG-S00356	7285.486887	6331.553401	3280.797618	3064.629203	444.2906385	4950.989989	4506.699351
A-TNG-S00472	6703.06241	6161.744768	3563.233078	3087.442598	683.8579841	5019.370284	4335.5123
A-TNG-S00501	5592.517186	6362.987502	3699.857144	3448.83732	778.6465939	5608.280415	4829.633821
A-TNG-S00825	6183.57431	6132.09455	3714.531494	3088.225277	480.2231229	5440.588817	4960.365694
A-TNG-S00827	6874.665553	6741.15379	3468.245014	2972.692004	1324.118053	5307.83066	3983.712608
A-TNG-S00829	256.5569972	6217.763929	3976.249816	3627.05921	773.1925988	5334.469531	4561.276932
A-TNG-S00830	6554.419538	6656.133567	3033.157175	3326.286326	1455.006015	5532.492493	4077.486478
A-TNG-S00831	5007.778117	6357.574619	4417.103443	3489.861097	909.5335258	5877.067367	4967.533842
A-TNG-S00832	7252.42454	5940.141242	3611.360082	2913.016244	176.8603215	4630.384045	4453.523724
A-TNG-S00836	7016.665332	6949.806761	3254.707162	3526.04867	421.8713196	4925.460944	4503.589624
D-TNG-S00837	-3022.68834	6677.561833	3910.699628	4204.004015	866.4617979	5629.641198	4763.1794
A-TNG-S00838	5948.128279	6135.237753	4054.690465	3345.687432	1033.882054	5999.80319	4965.921136
A-TNG-S01242	6207.469091	5878.904411	4015.370402	2823.777183	726.1842787	5193.880711	4467.696433
A-TNG-S01248	6383.420975	6375.243547	4117.972464	3084.356529	438.9700148	5185.061642	4746.091628
A-TNG-S01297	4724.598001	6082.44317	3562.111584	3842.169467	266.1560483	5032.591549	4766.435501
A-TNG-S01366	5617.354477	6001.710618	3118.600058	3144.546871	-156.9376497	3875.478496	4032.416146
A-TNG-S01453	6773.026179	6217.077732	3232.866725	2685.292646	758.4814699	5128.373632	4369.892162
N-TNG-S01494	1246.394291	6172.022078	2856.516592	3484.553635	1311.508232	5071.093485	3759.585253
A-TNG-S01512	6937.607024	6074.298103	2911.42926	2959.52006	-449.6265916	4137.648922	4587.275514
A-TNG-S01524	5247.773792	5915.089868	3062.687515	2982.34539	-1095.107456	3410.179993	4505.287448
D-TNG-S01542	-1124.549884	6185.790294	3562.034345	3990.675173	-364.0272394	4456.675737	4820.702976
N-TNG-S01556	474.9504306	5735.798601	3766.756604	3437.659294	896.2416165	5214.673463	4318.431846
A-TNG-S01563	5372.913041	6747.440537	3530.50454	3469.981869	651.6809215	5508.387299	4856.706377
A-TNG-S01578	7139.59666	5724.191378	3058.720154	2398.49804	-827.6766097	3693.295203	4520.971813
A-TNG-S01698	6689.575874	6691.269991	3302.683248	3342.624353	1172.932246	5812.840877	4639.90863
A-TNG-S01728	6109.90342	6565.259394	3663.448012	3215.676093	376.1550493	5064.843212	4688.688162
A-TNG-S01792	7159.245362	6092.665205	4808.211818	2831.35785	522.3818342	5497.990347	4975.608512
A-TNG-S01861	6413.79425	6001.803151	3890.134336	3030.592819	377.1118597	5172.304418	4795.192558
A-TNG-S01864	5537.077411	6315.086169	3459.854313	2846.926729	1040.140737	5262.465235	4222.324498
A-TNG-S01873	3473.2021	6200.304158	3661.143899	3098.060987	1018.016083	5569.074106	4551.058023
A-TNG-S02065	6791.157271	5132.146635	3090.280192	3257.618743	-589.8570867	3464.637692	4054.494779
A-TNG-S02093	5259.506827	6415.174777	4084.514158	3591.529262	788.4221042	5788.144686	4999.722582
A-TNG-S02120	5937.771721	5874.178528	4006.039517	3616.705699	1061.396918	5200.43587	4139.038952
N-TNG-S02139	4325.829182	6036.691475	4065.419835	3177.24125	-228.2026206	4288.520178	4516.722799
A-TNG-S02163	5696.249951	6202.148926	3568.154349	2925.596349	359.7198287	4505.790253	4146.070424
A-TNG-S02194	2534.422647	5679.795955	3736.087705	2913.370491	774.0921916	5560.262564	4786.170373
D-TNG-S02209	-3271.740469	6085.389236	4039.517118	4002.037846	221.1796007	5334.593449	5113.413848
A-TNG-S02234	6895.749646	6322.829342	3500.406853	2768.943093	980.1037486	5203.406103	4223.302354
A-TNG-S02241	6804.934172	5635.202566	3140.974662	2750.260495	-1067.320795	3652.317159	4719.637954
A-TNG-S02242	6473.994834	5703.275244	2664.403357	2629.574048	117.4498574	4533.305323	4415.855466
A-TNG-S02243	6477.800741	5955.486232	4358.441973	2969.183072	512.4071907	4703.435734	4191.028543
A-TNG-S02244	6696.02829	6537.801335	3231.510158	3076.54589	372.8738327	4708.108131	4335.234299
D-TNG-S02246	-2653.48745	6377.360778	4388.490695	3372.515079	187.6223907	5702.65091	5515.02852
A-TNG-S02248	7002.313641	6155.576806	3612.550907	2609.524056	330.065436	4899.308614	4569.243178
A-TNG-S02249	5767.493572	6383.038373	3100.950403	3548.672006	725.6529659	5411.349898	4685.696932
N-TNG-S02255	-1677.730187	6262.667532	3395.574787	4247.3208	727.5802737	5508.891206	4781.310932
N-TNG-S02256	1493.489755	6378.010032	3779.473063	3644.902571	662.8874319	4942.335723	4279.448291
A-TNG-S02284	6732.968501	6472.295828	4086.193489	3642.748651	194.4464011	4593.988389	4399.541988
A-TNG-S02285	6576.909864	6134.747141	3474.071302	3294.344485	72.09723894	3962.582687	3890.485448
D-TNG-S02286	-3576.390254	6313.674423	4828.453366	4557.58403	525.5303484	5414.902049	4889.3717
A-TNG-S02287	5753.384067	6328.044014	3918.790598	3443.514805	-213.5479287	4214.846749	4428.394678
D-TNG-S02288	-2854.248613	6279.398658	4699.025684	3959.890575	994.0060388	5611.399088	4617.39305
A-TNG-S02289	6923.060828	5933.198451	3968.201676	2650.489641	657.0710113	4678.732004	4021.660993
A-TNG-S02290	4771.988617	6055.272446	4249.052019	3281.318549	1297.799779	5260.408052	3962.608273
A-TNG-S02291	4570.485591	6090.955997	4673.574677	3706.466144	1165.764232	5930.194404	4764.430172
A-TNG-S02293	5915.338021	5666.665253	4565.644635	2809.229495	613.056169	4576.953338	3963.897169
A-TNG-S02294	5748.707662	5724.160537	4428.002956	2836.643287	105.6511087	4045.804006	3940.152898
A-TNG-S02295	6356.212784	6177.166867	3318.859052	3298.003806	275.2793555	4288.799824	4013.520469
D-TNG-S02296	-3581.483882	6419.830205	3936.215497	4357.845913	562.9178869	5516.579057	4953.66117
A-TNG-S02297	6479.145527	6286.386795	3955.967328	2437.638278	793.5869142	4876.026681	4082.439766
D-TNG-S02298	-1875.363095	6504.283774	4631.580611	3784.375286	1473.730448	5591.831735	4118.101287
A-TNG-S02299	2388.065131	6159.494192	4455.094205	4012.773233	880.0255307	5801.628975	4921.603445
A-TNG-S02322	6457.291493	5859.9263	3514.662669	3074.428508	338.1568036	4767.430672	4429.273869
A-TNG-S02328	3132.829153	6140.503587	4477.534161	3487.350547	256.236081	5625.727687	5369.491606
A-TNG-S02342	5483.686968	6150.128403	3998.514804	2960.323118	387.8683099	4196.247651	3808.379341
A-TNG-S02347	6162.394702	6657.250575	3886.301987	2964.102487	1243.654034	5405.598095	4161.944061
A-TNG-S02350	3945.671221	6265.836725	4065.005994	3128.184769	994.3836247	5757.244131	4762.860506
A-TNG-S02351	6989.640293	6506.458621	4201.044721	3206.341216	1187.255542	5188.005913	4000.750371
A-TNG-S02352	6138.573383	6407.083832	3951.092433	3177.95756	738.9683992	4952.173568	4213.205169
A-TNG-S02353	5461.230703	6598.384301	3802.443913	2615.993145	1095.319276	4817.12776	3721.808484
A-TNG-S02354	6482.878481	6744.240188	3790.63305	2989.012616	1051.623909	5196.484462	4144.860554
A-TNG-S02360	6958.741663	5782.401526	3473.054619	2362.531389	271.167952	4721.615243	4450.44729
U-TNG-S02375	-783.3001248	6455.358938	3767.584527	4359.398121	212.0568258	4637.553595	4425.496769
A-TNG-S02376	5974.121947	5956.681703	3369.495948	3197.164272	-259.7952844	4470.945704	4730.740988
A-TNG-S02378	5225.934327	6474.170841	4197.756687	3629.620929	314.925418	5544.968579	5230.043161
A-RG-S02382	6865.539685	6247.49446	3955.047704	2819.39809	315.9510983	4831.650387	4515.699288
